,q_gender,q_age,q_occupation,q_is_game_developer,q_playing_on#consoles,q_playing_on#mobile_consoles,q_playing_on#mobile_devices,q_playing_on#pc,q_playing_on#tv,q_playing_on#virtual_reality,q_play_strategy_games,q_strategy_games_like#4x,q_strategy_games_like#city_builders,q_strategy_games_like#decision_driven,q_strategy_games_like#grand_strategies,q_strategy_games_like#roguelike,q_strategy_games_like#rts,q_strategy_games_like#tactics,q_strategy_games_like#tycoon,q_know_about_new_games#advertising,q_know_about_new_games#coworkers,q_know_about_new_games#do_not_search,q_know_about_new_games#free_search,q_know_about_new_games#friends,q_know_about_new_games#game_stores,q_know_about_new_games#personalized_news,q_know_about_new_games#social_networks,q_know_about_new_games#specialized_sites,q_know_about_new_games#video_services,q_playing_effort,q_like_in_games#achievements,q_like_in_games#changing_game_world,q_like_in_games#collecting,q_like_in_games#creating_strategies,q_like_in_games#customizing,q_like_in_games#exploring,q_like_in_games#looting,q_like_in_games#messing_with_game_rules,q_like_in_games#overcoming_challenges,q_like_in_games#risking,q_like_in_games#roleplaying,q_like_in_games#solving_puzzles,q_like_in_games#story,q_like_in_games#what_if_scenarious,q_rpg_elements,q_multiple_channels_esential,q_channels#augmented_reality,q_channels#chats,q_channels#magic_creatures,q_channels#magic_devices,q_channels#mobile_application,q_channels#neural_implants,q_channels#news_in_vr,q_channels#online_radio,q_channels#social_networks,q_channels#traditional_newspaper,q_channels#traditional_radio,q_channels#traditional_tv,q_channels#web_portal,q_channels#youtube,q_realistic_work,q_concurrent_agencies,q_max_agency_size,q_budget_effort,q_relationships_effort,q_office_effort,q_plot_style#adventure,q_plot_style#conspirology,q_plot_style#cyberpunk,q_plot_style#documentary,q_plot_style#fairy_tale,q_plot_style#fantasy,q_plot_style#historic,q_plot_style#mystery,q_plot_style#noir,q_plot_style#paranormal,q_plot_style#scifi,q_plot_style#urban_legends,q_morale_complexity,q_world_style#bright,q_world_style#colorful,q_world_style#complex,q_world_style#dark,q_world_style#dark_humorous,q_world_style#depressing,q_world_style#dull,q_world_style#dystopian,q_world_style#gray,q_world_style#happy,q_world_style#humorous,q_world_style#imaginative,q_world_style#inspirational,q_world_style#polite,q_world_style#realistic,q_world_style#sarcastic,q_world_style#simple,q_world_style#utopian
14,male,38,employment,no,0,0,0,1,0,0,10,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,8,10,0,0,0,0,1,0,0,0,0,1,1,1,1,0,10,the_more_the_better,up_to_50,6,8,8,0,1,1,0,0,0,0,0,0,1,1,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,male,30,employment,no,0,1,1,1,0,1,9,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,8,0,1,0,0,1,1,1,0,0,0,0,0,1,0,7,9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,8,few,up_to_25,5,6,7,0,1,1,0,0,0,0,1,0,0,1,0,8,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
16,male,32,employment,no,0,1,0,1,0,0,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,3,7,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,the_more_the_better,up_to_25,2,3,5,0,0,0,0,1,0,0,2,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
17,male,25,unemployed,no,0,0,0,1,0,0,10,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,7,0,0,1,1,0,1,0,0,0,0,1,0,0,1,9,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,8,the_more_the_better,bureaucratic_empire,6,9,4,0,2,0,1,0,0,0,0,1,0,0,0,10,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
18,female,30,employment,no,0,1,1,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0,1,0,8,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,few,up_to_25,5,9,9,0,0,1,0,1,0,0,1,0,1,0,0,8,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
19,male,22,student,no,0,0,1,1,0,0,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3,7,0,0,1,0,0,0,0,1,0,1,0,1,0,1,6,few,up_to_25,5,8,1,0,1,1,0,0,0,0,0,0,1,1,0,7,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
20,male,21,student,no,0,0,0,1,0,0,6,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7,1,0,1,0,0,1,0,0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,0,1,0,1,1,1,1,0,8,few,small_or_automanage,5,4,6,1,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
21,male,32,employment,no,1,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,5,1,0,0,1,0,0,0,0,0,1,0,0,1,1,6,9,0,0,0,0,1,0,1,0,1,0,0,1,0,1,7,few,up_to_25,5,9,7,1,0,1,0,0,1,0,0,0,0,1,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
22,male,21,employment,yes,0,1,1,1,0,0,10,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,8,0,1,0,0,0,0,0,1,1,0,0,0,1,1,8,9,1,1,0,0,0,0,0,0,1,1,0,0,1,0,10,few,up_to_50,9,9,6,0,1,0,0,0,0,0,0,1,0,1,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
23,male,34,employment,no,0,1,1,1,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,9,7,0,0,0,0,1,0,0,0,1,0,0,1,1,1,7,few,bureaucratic_empire,7,8,8,1,0,1,1,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
25,male,38,employment,no,0,0,0,1,0,0,8,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,10,1,0,0,0,0,1,0,1,1,0,0,1,0,0,6,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4,the_more_the_better,small_or_automanage,7,7,8,0,0,1,0,0,0,0,0,0,0,1,1,9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
26,female,31,employment,no,1,0,1,1,0,0,7,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,6,0,1,1,0,1,0,0,0,0,0,0,1,0,1,7,10,0,0,0,0,0,1,1,0,1,1,0,1,0,0,5,few,up_to_25,3,9,7,0,0,1,0,0,0,0,0,1,0,1,1,8,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
27,male,21,employment,no,0,0,1,1,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,8,1,1,0,1,0,0,0,0,0,0,0,0,1,1,9,9,1,1,0,1,0,0,0,0,1,0,0,0,1,0,6,the_more_the_better,up_to_50,8,6,3,0,0,0,0,1,0,0,0,1,1,1,0,6,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
28,male,38,employment,no,0,0,0,1,0,0,10,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,1,1,1,0,0,0,0,0,1,1,0,5,few,up_to_25,8,4,6,0,1,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
29,male,28,employment,no,0,0,0,1,0,0,9,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,few,bureaucratic_empire,5,7,8,0,0,1,0,0,0,0,0,0,1,0,1,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30,male,40,employment,yes,0,0,0,1,0,0,9,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,0,1,0,1,0,0,0,0,1,0,1,0,10,10,0,0,0,0,1,0,0,1,1,0,0,1,1,0,7,few,bureaucratic_empire,5,8,8,0,0,1,0,0,1,0,1,0,0,1,0,10,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
32,female,,unemployed,no,0,0,0,1,0,0,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,1,0,1,0,1,0,9,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,9,few,up_to_25,3,7,5,0,0,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
34,male,44,employment,no,0,0,0,1,0,0,9,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,1,1,1,0,10,9,0,1,0,0,0,0,0,0,1,1,0,1,0,0,9,the_more_the_better,up_to_50,7,9,9,0,0,1,0,0,0,1,1,1,0,0,0,10,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
35,male,41,employment,no,1,0,0,1,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,1,0,0,0,1,0,0,0,0,1,1,1,0,10,8,0,1,0,0,0,0,0,1,1,0,0,0,1,0,8,few,up_to_25,3,8,6,0,0,0,1,0,0,1,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
36,male,33,student,no,0,0,0,1,0,0,8,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,8,1,0,0,1,0,0,0,0,0,0,0,1,1,1,7,4,1,0,0,0,1,0,0,0,1,0,0,1,1,0,8,few,up_to_100,7,5,7,0,0,0,0,1,1,0,0,0,0,1,1,8,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
37,male,31,unemployed,no,0,0,1,1,0,0,6,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10,1,1,0,0,0,1,1,0,0,0,0,0,1,0,10,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,10,few,up_to_100,5,7,7,0,1,0,1,0,0,0,0,1,0,0,1,10,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
38,male,27,unemployed,yes,0,0,1,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,10,0,0,0,0,0,1,0,0,0,1,0,1,1,1,5,few,up_to_10,5,3,3,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39,male,19,student,yes,0,0,1,1,0,0,10,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,7,0,1,0,1,0,0,0,1,0,0,1,0,1,0,8,10,0,0,0,0,1,0,0,0,0,1,1,1,1,0,5,few,small_or_automanage,9,10,8,0,0,0,1,0,0,1,0,1,0,1,0,10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
40,male,34,employment,yes,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,10,few,up_to_25,1,10,1,0,0,0,0,0,1,1,0,0,0,0,0,10,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,male,43,employment,no,0,0,0,1,0,0,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,1,0,0,0,0,0,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,7,7,7,0,0,0,0,0,0,0,1,1,0,1,1,7,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
42,male,,student,no,0,0,0,1,0,0,7,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,few,bureaucratic_empire,5,6,4,0,0,0,0,1,0,1,0,0,1,0,1,7,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
43,male,61,sabbatical,no,0,0,0,1,0,0,10,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,1,0,0,0,1,0,1,0,0,7,8,0,0,0,0,0,0,0,1,1,0,0,1,1,1,8,few,up_to_25,7,5,8,0,1,1,0,0,0,0,0,1,0,0,1,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
44,male,26,unemployed,yes,0,0,0,1,0,0,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,1,0,0,1,1,0,0,0,0,7,10,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8,the_more_the_better,bureaucratic_empire,6,5,8,1,0,0,1,0,1,1,0,0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
45,male,32,employment,no,0,1,0,1,0,0,10,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,7,0,1,0,1,1,1,0,0,0,0,1,0,0,0,10,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,8,few,bureaucratic_empire,4,6,6,0,1,1,0,0,0,0,0,1,0,0,0,10,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46,male,37,employment,no,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,1,1,0,0,0,0,1,0,8,6,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,the_more_the_better,up_to_50,1,9,7,0,0,0,0,0,1,0,0,0,1,1,1,8,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
47,male,43,employment,no,0,0,0,1,0,0,9,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,8,0,1,1,0,0,1,0,0,0,1,0,0,1,0,7,few,bureaucratic_empire,9,8,5,0,0,1,0,0,0,0,0,1,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,male,38,employment,no,0,0,1,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,1,1,1,1,0,7,,bureaucratic_empire,7,4,6,0,1,0,1,0,1,0,0,0,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
49,male,26,employment,no,0,0,1,1,0,0,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,9,0,0,0,1,0,0,0,0,1,1,0,1,0,1,10,8,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5,few,up_to_25,9,4,9,0,0,1,0,0,1,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,male,28,employment,no,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,8,0,1,1,1,0,0,1,0,0,0,0,0,0,1,9,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,few,bureaucratic_empire,10,4,8,1,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
51,prefer_not_to_say,53,employment,no,0,0,0,1,0,0,10,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,10,the_more_the_better,bureaucratic_empire,10,8,1,0,0,1,0,0,0,0,1,1,0,1,0,10,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
52,male,33,employment,yes,0,0,1,1,0,0,8,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,9,1,0,1,1,0,0,0,1,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,up_to_25,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
53,male,35,employment,no,0,0,1,1,0,0,10,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,1,0,1,0,0,0,0,1,1,0,0,10,10,0,0,0,0,0,0,0,1,1,1,0,0,1,1,8,the_more_the_better,bureaucratic_empire,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
54,male,18,student,no,0,0,0,1,0,0,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,5,7,0,0,0,0,0,0,0,1,0,1,1,1,1,0,5,the_more_the_better,up_to_50,5,7,6,0,1,1,0,0,0,1,0,1,0,0,0,8,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
55,male,29,employment,no,0,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10,few,small_or_automanage,5,7,8,0,1,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
56,male,33,employment,no,0,0,1,1,0,0,10,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,6,0,1,0,1,0,1,0,0,0,0,1,0,0,1,8,10,1,0,0,0,0,1,0,0,1,0,0,0,1,1,7,few,up_to_25,7,6,8,0,0,1,0,0,1,1,0,0,0,1,0,8,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
58,male,21,unemployed,no,0,0,0,1,0,0,10,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,8,1,0,0,1,1,0,0,0,0,0,1,0,0,1,8,9,0,0,0,0,0,0,0,1,1,1,0,1,1,0,10,few,up_to_25,8,8,1,0,1,0,0,0,0,0,1,1,0,1,0,8,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
59,male,30,employment,no,0,0,1,1,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,1,0,0,0,0,0,1,0,10,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,few,up_to_25,5,9,9,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,male,28,employment,no,0,0,1,1,0,1,7,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,10,1,1,0,1,0,1,0,0,0,0,1,0,0,0,10,10,0,1,0,0,0,0,0,0,1,0,0,1,1,1,8,the_more_the_better,bureaucratic_empire,8,10,10,0,0,1,0,1,1,0,0,0,0,1,0,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
63,male,23,employment,no,0,0,0,1,0,0,9,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,1,0,1,1,0,0,0,0,1,1,0,8,8,0,0,1,0,0,0,1,1,1,0,0,0,1,0,7,few,up_to_25,3,7,1,1,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
64,male,27,sabbatical,no,0,0,0,1,0,0,8,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,1,0,1,0,0,0,0,1,0,0,1,0,1,7,10,0,0,0,0,0,1,0,0,1,1,0,1,1,0,10,the_more_the_better,up_to_100,7,6,3,0,1,0,0,0,0,0,0,0,1,1,1,9,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,male,16,student,yes,1,0,1,1,0,0,9,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,few,bureaucratic_empire,5,4,4,0,1,0,1,0,0,1,0,1,0,0,0,10,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
66,male,22,employment,no,0,0,1,1,0,0,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1,0,1,0,0,0,1,0,0,1,0,1,0,10,5,0,1,0,0,0,0,0,1,1,0,0,0,1,1,10,,bureaucratic_empire,1,10,6,1,1,0,0,0,1,0,0,0,0,1,0,10,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
